repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn
dagger/dagger,full_rewrite,2024-Q4,354,34,325,9,1,8,0.0277,1.1427,7.0225,191,132,59,29,0.4412,0
dagger/dagger,full_rewrite,2025-Q1,455,34,474,6,0,6,0.0127,1.0246,5.4871,148,112,36,43,0.3103,0
dagger/dagger,full_rewrite,2025-Q2,365,36,395,17,0,17,0.043,0.7046,4.9381,160,107,53,47,0.4186,0
dagger/dagger,full_rewrite,2025-Q3,285,25,293,14,4,10,0.0478,1.0436,6.4704,101,79,22,30,0.5745,0
dagger/dagger,full_rewrite,2025-Q4,249,43,283,12,0,12,0.0424,0.5366,4.4259,95,51,44,29,0.4667,0
triggerdotdev/trigger.dev,full_rewrite,2023-Q1,1866,0,56,0,0,0,0.0,0.0008,0.0107,52,7,45,6,,1
triggerdotdev/trigger.dev,full_rewrite,2023-Q2,1028,9,11,0,0,0,0.0,0.0775,0.194,2,0,2,6,0.3333,1
triggerdotdev/trigger.dev,full_rewrite,2023-Q3,777,55,169,4,0,4,0.0237,0.6529,2.0581,161,129,32,32,0.3333,1
triggerdotdev/trigger.dev,full_rewrite,2023-Q4,292,23,140,0,0,0,0.0,1.1525,4.0797,98,89,9,23,0.8125,1
triggerdotdev/trigger.dev,full_rewrite,2024-Q1,223,14,133,2,0,2,0.015,0.0915,1.7391,37,27,10,20,0.7391,1
triggerdotdev/trigger.dev,full_rewrite,2024-Q2,397,43,146,4,0,4,0.0274,0.2121,1.9094,37,19,18,16,0.75,1
triggerdotdev/trigger.dev,full_rewrite,2024-Q3,293,20,119,1,0,1,0.0084,0.2528,2.1405,40,14,26,18,0.5625,1
triggerdotdev/trigger.dev,full_rewrite,2024-Q4,203,18,144,1,0,1,0.0069,0.1427,1.9441,43,24,19,18,0.6667,1
triggerdotdev/trigger.dev,full_rewrite,2025-Q1,372,11,203,2,0,2,0.0099,0.0338,0.6495,57,24,33,15,0.5556,1
triggerdotdev/trigger.dev,full_rewrite,2025-Q2,278,22,300,10,0,10,0.0333,0.0545,0.8027,35,126,-91,12,0.6,1
triggerdotdev/trigger.dev,full_rewrite,2025-Q3,314,13,288,5,0,5,0.0174,0.067,0.9436,39,35,4,13,0.4167,1
triggerdotdev/trigger.dev,full_rewrite,2025-Q4,172,9,175,1,0,1,0.0057,0.0414,1.1338,48,24,24,14,0.5385,1
appwrite/appwrite,full_rewrite,2023-Q1,758,0,96,4,0,4,0.0417,6.2013,33.8829,173,244,-71,23,,0
appwrite/appwrite,full_rewrite,2023-Q2,805,0,135,7,0,7,0.0519,0.4537,5.1019,218,128,90,24,0.5217,1
appwrite/appwrite,full_rewrite,2023-Q3,1425,0,219,15,0,15,0.0685,0.8842,5.9865,275,419,-144,29,0.3333,1
appwrite/appwrite,full_rewrite,2023-Q4,1201,0,188,11,0,11,0.0585,0.2117,1.8944,350,240,110,29,0.2759,1
appwrite/appwrite,full_rewrite,2024-Q1,1635,0,267,19,0,19,0.0712,0.6264,4.438,152,193,-41,25,0.4138,0
appwrite/appwrite,full_rewrite,2024-Q2,1122,0,194,15,0,15,0.0773,0.902,6.4262,146,158,-12,27,0.36,0
appwrite/appwrite,full_rewrite,2024-Q3,1255,0,190,8,0,8,0.0421,0.909,5.7372,140,86,54,20,0.3704,0
appwrite/appwrite,full_rewrite,2024-Q4,1151,0,170,9,0,9,0.0529,0.4567,3.99,154,170,-16,20,0.25,1
appwrite/appwrite,full_rewrite,2025-Q1,1802,0,223,7,0,7,0.0314,0.5473,4.1641,131,108,23,18,0.2,1
appwrite/appwrite,full_rewrite,2025-Q2,1792,0,275,15,0,15,0.0545,0.1418,2.6117,111,83,28,20,0.1667,1
appwrite/appwrite,full_rewrite,2025-Q3,1615,0,244,13,0,13,0.0533,0.1518,1.2146,126,119,7,28,0.15,1
appwrite/appwrite,full_rewrite,2025-Q4,1667,0,254,20,0,20,0.0787,0.1931,2.9034,103,66,37,25,0.2857,1
airbytehq/airbyte,migration,2023-Q1,1401,1,1409,39,0,39,0.0277,1.7845,6.9987,1370,1341,29,162,,0
airbytehq/airbyte,migration,2023-Q2,1126,0,1098,66,9,58,0.0601,0.786,4.2741,1241,1265,-24,146,0.6111,0
airbytehq/airbyte,migration,2023-Q3,1133,0,1115,94,12,83,0.0843,0.9294,4.4526,1139,1051,88,117,0.5685,0
airbytehq/airbyte,migration,2023-Q4,1080,0,1036,77,31,68,0.0743,1.0241,5.0976,797,1048,-251,108,0.5128,0
airbytehq/airbyte,migration,2024-Q1,1167,6,1117,104,58,98,0.0931,0.9493,4.6172,459,795,-336,99,0.5185,0
airbytehq/airbyte,migration,2024-Q2,2196,3,2082,113,29,110,0.0543,0.9973,5.2484,349,562,-213,118,0.4141,0
airbytehq/airbyte,migration,2024-Q3,4270,1,4152,219,3,217,0.0527,0.4122,0.4923,495,433,62,119,0.5508,0
airbytehq/airbyte,migration,2024-Q4,3486,16,3480,97,30,68,0.0279,0.2199,0.9756,437,560,-123,95,0.6218,0
airbytehq/airbyte,migration,2025-Q1,5294,57,5398,98,36,64,0.0182,0.2235,0.3331,299,311,-12,126,0.4737,0
airbytehq/airbyte,migration,2025-Q2,4602,54,4740,70,1,69,0.0148,0.2745,2.8373,197,175,22,94,0.5794,0
airbytehq/airbyte,migration,2025-Q3,3219,534,3848,68,0,68,0.0177,0.0649,0.3083,205,197,8,86,0.5,0
airbytehq/airbyte,migration,2025-Q4,411,2662,3135,25,0,25,0.008,0.1001,0.4132,156,245,-89,50,0.593,0
zed-industries/zed,transition,2023-Q1,1194,0,273,4,0,4,0.0147,0.0183,0.4691,448,269,179,9,,1
zed-industries/zed,transition,2023-Q2,1896,0,310,4,0,4,0.0129,0.0243,0.5521,308,144,164,14,0.1111,1
zed-industries/zed,transition,2023-Q3,2132,0,381,7,0,7,0.0184,0.0184,0.541,317,210,107,16,0.1429,1
zed-industries/zed,transition,2023-Q4,3784,0,726,6,0,6,0.0083,0.0112,0.0506,204,95,109,13,0.25,1
zed-industries/zed,transition,2024-Q1,2647,0,1771,41,0,41,0.0232,0.026,0.4227,1505,1258,247,233,0.0769,0
zed-industries/zed,transition,2024-Q2,1590,0,1607,27,0,27,0.0168,0.0256,0.4956,1578,1004,574,203,0.8026,0
zed-industries/zed,transition,2024-Q3,1889,99,1956,36,0,36,0.0184,0.0229,0.4356,2224,1368,856,257,0.7438,0
zed-industries/zed,transition,2024-Q4,1513,95,1632,31,0,31,0.019,0.039,0.6157,1734,1545,189,203,0.8054,0
zed-industries/zed,transition,2025-Q1,2332,140,2647,50,0,50,0.0189,0.0289,0.2951,1420,2140,-720,214,0.7241,0
zed-industries/zed,transition,2025-Q2,2615,16,2801,53,0,53,0.0189,0.0305,0.4632,1643,1607,36,253,0.7056,0
zed-industries/zed,transition,2025-Q3,2277,1,2342,52,0,52,0.0222,0.0353,0.5406,1870,1619,251,261,0.7273,0
zed-industries/zed,transition,2025-Q4,2388,0,2585,47,0,47,0.0182,0.0362,0.9637,2223,2031,192,370,0.7011,0
LedgerHQ/ledger-live,migration,2023-Q1,1056,10,494,15,0,15,0.0304,2.0004,7.2179,44,29,15,56,,0
LedgerHQ/ledger-live,migration,2023-Q2,945,97,447,7,0,7,0.0157,1.5874,7.0171,33,45,-12,57,0.3571,0
LedgerHQ/ledger-live,migration,2023-Q3,1151,165,516,9,0,9,0.0174,0.9753,4.6654,18,19,-1,54,0.4211,0
LedgerHQ/ledger-live,migration,2023-Q4,1092,97,506,6,0,6,0.0119,1.9219,6.1761,20,16,4,50,0.3519,0
LedgerHQ/ledger-live,migration,2024-Q1,1290,67,482,18,0,18,0.0373,1.8728,6.9699,12,12,0,53,0.3,0
LedgerHQ/ledger-live,migration,2024-Q2,1190,92,474,15,0,15,0.0316,0.9563,5.6666,12,13,-1,52,0.3396,0
LedgerHQ/ledger-live,migration,2024-Q3,1155,67,550,12,0,12,0.0218,0.8981,3.1723,16,16,0,57,0.25,0
LedgerHQ/ledger-live,migration,2024-Q4,1470,112,593,11,0,11,0.0185,1.039,4.256,20,18,2,54,0.3158,0
LedgerHQ/ledger-live,migration,2025-Q1,1663,271,674,10,0,10,0.0148,0.9679,4.8565,8,12,-4,71,0.2407,0
LedgerHQ/ledger-live,migration,2025-Q2,1777,289,619,22,0,22,0.0355,0.9699,4.4503,7,7,0,68,0.2817,0
LedgerHQ/ledger-live,migration,2025-Q3,2546,292,897,47,0,47,0.0524,0.7257,3.0078,18,12,6,72,0.1765,0
LedgerHQ/ledger-live,migration,2025-Q4,2721,269,1001,54,0,54,0.0539,0.7891,3.6671,9,22,-13,73,0.25,0
weaviate/weaviate,migration,2023-Q1,797,7,167,3,0,3,0.018,0.9765,3.748,147,107,40,22,,1
weaviate/weaviate,migration,2023-Q2,603,6,156,12,0,12,0.0769,1.5468,5.795,129,56,73,24,0.4091,1
weaviate/weaviate,migration,2023-Q3,705,7,214,6,0,6,0.028,0.3588,1.7337,129,46,83,24,0.4167,1
weaviate/weaviate,migration,2023-Q4,720,15,247,19,0,19,0.0769,0.5764,1.9453,75,33,42,21,0.5,0
weaviate/weaviate,migration,2024-Q1,833,12,382,18,0,18,0.0471,0.176,1.6114,113,50,63,30,0.381,1
weaviate/weaviate,migration,2024-Q2,1292,10,451,17,0,17,0.0377,0.1064,1.1182,92,39,53,31,0.3,1
weaviate/weaviate,migration,2024-Q3,1426,3,455,6,0,6,0.0132,0.1682,1.2432,98,60,38,35,0.3548,1
weaviate/weaviate,migration,2024-Q4,1950,21,648,23,0,23,0.0355,0.0723,0.664,68,141,-73,32,0.3714,1
weaviate/weaviate,migration,2025-Q1,1990,38,686,29,0,29,0.0423,0.1284,1.0434,69,28,41,35,0.375,0
weaviate/weaviate,migration,2025-Q2,1726,4,608,26,0,26,0.0428,0.1275,1.1564,40,76,-36,35,0.3143,1
weaviate/weaviate,migration,2025-Q3,1505,15,585,13,0,13,0.0222,0.1524,1.0969,56,111,-55,26,0.3429,0
weaviate/weaviate,migration,2025-Q4,1548,22,562,20,0,20,0.0356,0.1772,1.0729,30,25,5,27,0.3077,0
astral-sh/ruff,full_rewrite,2023-Q1,1585,0,1297,62,4,58,0.0478,0.0187,0.2359,924,770,154,122,,0
astral-sh/ruff,full_rewrite,2023-Q2,931,1,932,40,6,35,0.0429,0.1002,0.8766,549,479,70,81,0.8197,0
astral-sh/ruff,full_rewrite,2023-Q3,1218,38,1281,46,6,40,0.0359,0.0968,0.8869,856,657,199,72,0.7901,0
astral-sh/ruff,full_rewrite,2023-Q4,722,78,802,21,5,16,0.0262,0.0893,0.7729,675,565,110,103,0.6806,0
astral-sh/ruff,full_rewrite,2024-Q1,540,76,657,25,6,21,0.0381,0.0934,0.8032,540,421,119,92,0.767,0
astral-sh/ruff,full_rewrite,2024-Q2,587,124,819,30,13,21,0.0366,0.1351,1.0005,512,380,132,86,0.7935,0
astral-sh/ruff,full_rewrite,2024-Q3,622,150,778,23,9,16,0.0296,0.1209,0.8027,550,387,163,86,0.7907,0
astral-sh/ruff,full_rewrite,2024-Q4,712,155,869,28,13,19,0.0322,0.1653,0.9967,612,480,132,85,0.7442,0
astral-sh/ruff,full_rewrite,2025-Q1,910,147,1022,48,15,35,0.047,0.2269,1.0872,600,508,92,72,0.6706,0
astral-sh/ruff,full_rewrite,2025-Q2,1097,157,1205,19,5,15,0.0158,0.3459,1.9313,504,357,147,99,0.5972,0
astral-sh/ruff,full_rewrite,2025-Q3,918,145,1012,15,6,11,0.0148,0.3253,2.4357,368,243,125,92,0.6364,0
astral-sh/ruff,full_rewrite,2025-Q4,967,139,1077,18,3,15,0.0167,0.2736,1.6712,341,235,106,86,0.6087,0
inngest/inngest,full_rewrite,2023-Q1,311,1,41,0,0,0,0.0,1.0023,2.7496,29,13,16,6,,1
inngest/inngest,full_rewrite,2023-Q2,211,0,40,4,0,4,0.1,0.2054,1.8896,6,1,5,8,0.0,1
inngest/inngest,full_rewrite,2023-Q3,283,1,135,1,0,1,0.0074,0.2436,1.694,16,54,-38,9,0.0,1
inngest/inngest,full_rewrite,2023-Q4,420,7,267,12,0,12,0.0449,0.1868,0.9252,14,8,6,10,0.1111,0
inngest/inngest,full_rewrite,2024-Q1,411,0,258,3,0,3,0.0116,0.5632,2.0053,5,2,3,10,0.2,0
inngest/inngest,full_rewrite,2024-Q2,246,1,240,0,0,0,0.0,0.7155,1.8775,12,5,7,10,0.4,1
inngest/inngest,full_rewrite,2024-Q3,248,1,263,7,0,7,0.0266,0.219,2.0039,6,2,4,9,0.1,1
inngest/inngest,full_rewrite,2024-Q4,189,1,191,4,0,4,0.0209,0.607,2.7149,14,5,9,12,0.0,1
inngest/inngest,full_rewrite,2025-Q1,219,6,212,7,0,7,0.033,0.3959,1.7837,14,10,4,10,0.25,0
inngest/inngest,full_rewrite,2025-Q2,290,7,293,18,0,18,0.0614,0.1845,1.1374,30,12,18,14,0.1,1
inngest/inngest,full_rewrite,2025-Q3,363,1,365,14,0,14,0.0384,0.3682,2.7367,18,10,8,18,0.2143,1
inngest/inngest,full_rewrite,2025-Q4,344,1,330,7,0,7,0.0212,0.2164,2.7024,28,10,18,22,0.0556,1
milvus-io/milvus,full_rewrite,2023-Q1,502,0,831,357,350,12,0.4296,0.7248,1.8021,624,545,79,40,,0
milvus-io/milvus,full_rewrite,2023-Q2,598,4,953,414,406,13,0.4344,0.8224,2.8246,781,606,175,47,0.225,0
milvus-io/milvus,full_rewrite,2023-Q3,700,0,913,438,434,10,0.4797,0.9163,3.0229,835,895,-60,45,0.234,0
milvus-io/milvus,full_rewrite,2023-Q4,643,3,1008,262,257,7,0.2599,0.9514,3.7488,680,716,-36,46,0.1333,0
milvus-io/milvus,full_rewrite,2024-Q1,688,0,1010,57,41,16,0.0564,0.9588,3.9366,714,599,115,44,0.2826,0
milvus-io/milvus,full_rewrite,2024-Q2,733,0,1246,67,46,23,0.0538,0.9013,3.466,737,713,24,51,0.1591,0
milvus-io/milvus,full_rewrite,2024-Q3,685,0,1187,66,51,15,0.0556,1.0136,3.558,700,612,88,56,0.1961,0
milvus-io/milvus,full_rewrite,2024-Q4,704,0,1119,52,40,12,0.0465,0.9459,3.1379,640,621,19,51,0.2679,0
milvus-io/milvus,full_rewrite,2025-Q1,517,1,1019,108,96,13,0.106,1.0955,5.0163,623,601,22,50,0.2353,0
milvus-io/milvus,full_rewrite,2025-Q2,554,0,802,50,42,11,0.0623,1.1038,4.4451,652,751,-99,47,0.28,0
milvus-io/milvus,full_rewrite,2025-Q3,583,1,741,41,21,20,0.0553,1.1912,4.814,543,478,65,50,0.2979,0
milvus-io/milvus,full_rewrite,2025-Q4,572,0,1123,39,27,13,0.0347,1.009,3.8496,551,480,71,49,0.36,0
tursodatabase/libsql,pivot,2023-Q1,927,202,32,0,0,0,0.0,0.1695,1.5783,24,7,17,22,,1
tursodatabase/libsql,pivot,2023-Q2,631,34,18,0,0,0,0.0,0.9994,3.4792,6,3,3,27,0.3182,1
tursodatabase/libsql,pivot,2023-Q3,1495,0,186,8,0,8,0.043,0.1037,0.5531,56,25,31,26,0.3333,1
tursodatabase/libsql,pivot,2023-Q4,1525,0,234,3,0,3,0.0128,0.0888,1.0023,111,42,69,33,0.4231,1
tursodatabase/libsql,pivot,2024-Q1,841,0,293,20,0,20,0.0683,0.1367,1.1512,81,33,48,28,0.5758,1
tursodatabase/libsql,pivot,2024-Q2,392,0,143,5,0,5,0.035,0.2053,2.0038,73,23,50,28,0.5357,0
tursodatabase/libsql,pivot,2024-Q3,1143,0,188,6,0,6,0.0319,0.2882,1.7678,44,26,18,28,0.4643,1
tursodatabase/libsql,pivot,2024-Q4,307,0,67,5,0,5,0.0746,0.2461,1.405,43,11,32,12,0.7143,1
tursodatabase/libsql,pivot,2025-Q1,138,0,42,1,0,1,0.0238,0.8052,6.6406,54,16,38,12,0.6667,1
tursodatabase/libsql,pivot,2025-Q2,93,0,35,0,0,0,0.0,1.2167,3.8571,53,20,33,13,0.6667,1
tursodatabase/libsql,pivot,2025-Q3,95,0,24,0,0,0,0.0,0.1591,2.3272,18,4,14,10,0.6154,1
tursodatabase/libsql,pivot,2025-Q4,56,0,22,1,0,1,0.0455,1.5604,3.6534,12,4,8,13,0.5,1
qdrant/qdrant,fuzzy,2023-Q1,101,71,205,1,0,1,0.0049,0.6008,1.7358,77,54,23,12,,0
qdrant/qdrant,fuzzy,2023-Q2,210,102,309,6,0,6,0.0194,0.4966,2.4888,137,116,21,28,0.5,0
qdrant/qdrant,fuzzy,2023-Q3,156,115,312,11,3,9,0.0353,0.5504,2.5559,155,96,59,17,0.7143,0
qdrant/qdrant,fuzzy,2023-Q4,290,58,305,10,0,10,0.0328,0.7348,1.8864,144,139,5,22,0.5294,0
qdrant/qdrant,fuzzy,2024-Q1,244,81,357,11,0,11,0.0308,0.6185,2.0032,153,98,55,27,0.6818,0
qdrant/qdrant,fuzzy,2024-Q2,376,96,430,21,2,19,0.0488,0.527,1.5553,120,102,18,21,0.6667,0
qdrant/qdrant,fuzzy,2024-Q3,265,87,382,23,7,16,0.0602,0.5738,1.9219,111,65,46,22,0.5238,0
qdrant/qdrant,fuzzy,2024-Q4,250,81,396,15,2,13,0.0379,0.5229,1.6301,92,47,45,18,0.4545,0
qdrant/qdrant,fuzzy,2025-Q1,337,130,407,25,8,17,0.0614,0.2283,1.1438,91,67,24,18,0.2778,0
qdrant/qdrant,fuzzy,2025-Q2,156,50,346,19,5,14,0.0549,0.6361,3.9759,85,76,9,13,0.3889,0
qdrant/qdrant,fuzzy,2025-Q3,369,123,389,21,2,20,0.054,0.4763,1.6281,86,63,23,25,0.1538,0
qdrant/qdrant,fuzzy,2025-Q4,265,66,354,16,2,15,0.0452,0.5988,2.7115,65,53,12,16,0.56,0
PostHog/posthog,full_rewrite,2026-Q1,5935,416,6413,368,2,366,0.0574,0.5652,2.0913,660,341,319,154,0.2295,0
PostHog/posthog,full_rewrite,2026-Q2,8917,731,9824,498,5,493,0.0507,0.4536,1.7885,612,362,250,186,0.2143,0
Infisical/infisical,migration,2026-Q1,2715,156,499,21,0,21,0.0421,0.6743,2.7648,46,117,-71,33,0.2778,1
Infisical/infisical,migration,2026-Q2,4162,112,776,51,0,51,0.0657,0.7725,2.8428,69,115,-46,35,0.4242,1
dagger/dagger,full_rewrite,2026-Q1,228,45,265,8,0,8,0.0302,0.6341,3.9717,83,857,-774,30,0.4828,0
dagger/dagger,full_rewrite,2026-Q2,598,32,361,6,0,6,0.0166,0.4096,3.0056,91,56,35,26,0.4667,1
triggerdotdev/trigger.dev,full_rewrite,2026-Q1,251,8,259,12,0,12,0.0463,0.1342,2.1649,102,35,67,16,0.4286,1
triggerdotdev/trigger.dev,full_rewrite,2026-Q2,414,18,428,17,0,17,0.0397,0.1566,1.0466,141,22,119,13,0.5,1
appwrite/appwrite,full_rewrite,2026-Q1,2238,0,315,25,0,25,0.0794,0.1559,1.2514,96,276,-180,19,0.36,1
appwrite/appwrite,full_rewrite,2026-Q2,2903,0,423,63,0,63,0.1489,0.0844,1.2167,79,34,45,24,0.1579,1
airbytehq/airbyte,migration,2026-Q1,367,3000,3437,48,2,47,0.014,0.0632,0.8577,155,297,-142,49,0.5,0
airbytehq/airbyte,migration,2026-Q2,437,3126,3633,55,7,52,0.0151,0.0027,0.013,146,555,-409,40,0.4898,0
zed-industries/zed,transition,2026-Q1,2684,13,3013,54,0,54,0.0179,0.0409,1.1591,1965,2238,-273,389,0.7027,0
zed-industries/zed,transition,2026-Q2,2145,17,2558,54,0,54,0.0211,0.1948,2.5784,2472,2466,6,377,0.7326,0
LedgerHQ/ledger-live,migration,2026-Q1,4480,313,1599,93,0,93,0.0582,0.7306,2.8211,8,6,2,78,0.2192,0
LedgerHQ/ledger-live,migration,2026-Q2,5843,312,2174,168,0,168,0.0773,0.7498,2.9368,18,15,3,92,0.1154,0
weaviate/weaviate,migration,2026-Q1,1887,24,582,16,0,16,0.0275,0.1684,1.1842,28,86,-58,26,0.3333,0
weaviate/weaviate,migration,2026-Q2,1940,42,685,15,0,15,0.0219,0.1904,1.6755,92,43,49,38,0.2692,0
astral-sh/ruff,full_rewrite,2026-Q1,1099,215,1290,26,13,13,0.0202,0.3295,2.5239,283,280,3,124,0.5349,0
astral-sh/ruff,full_rewrite,2026-Q2,1027,182,1228,23,0,23,0.0187,0.1927,1.7908,220,183,37,106,0.75,0
inngest/inngest,full_rewrite,2026-Q1,303,1,309,10,0,10,0.0324,0.1883,1.8063,22,72,-50,21,0.1364,1
inngest/inngest,full_rewrite,2026-Q2,376,36,414,83,73,31,0.2005,0.7452,3.7555,25,16,9,29,0.0952,0
milvus-io/milvus,full_rewrite,2026-Q1,538,0,896,39,21,24,0.0435,1.6879,5.0698,561,419,142,49,0.2857,0
milvus-io/milvus,full_rewrite,2026-Q2,657,1,1130,29,7,22,0.0257,1.824,5.981,727,867,-140,48,0.2449,0
tursodatabase/libsql,pivot,2026-Q1,14,0,5,0,0,0,0.0,0.0497,0.7044,6,1,5,4,0.6923,0
tursodatabase/libsql,pivot,2026-Q2,30,0,8,0,0,0,0.0,0.4626,2.3236,7,0,7,3,0.75,0
qdrant/qdrant,fuzzy,2026-Q1,357,122,479,6,0,6,0.0125,0.5582,1.9194,69,38,31,25,0.1875,0
qdrant/qdrant,fuzzy,2026-Q2,431,86,744,88,4,84,0.1183,0.39,1.5857,126,81,45,28,0.4,0
